batch_size,total_images,wall_sec,throughput_img_per_sec
1,1477,60.0,24.616666666666667
2,1508,60.0,25.133333333333333
3,1506,60.0,25.1
4,1496,60.0,24.933333333333334
5,1475,60.0,24.583333333333332
6,1482,60.0,24.7
7,1519,60.0,25.316666666666666
8,1496,60.0,24.933333333333334
9,1521,60.0,25.35
10,1510,60.0,25.166666666666668
11,1496,60.0,24.933333333333334
12,1500,60.0,25.0
13,1469,60.0,24.483333333333334
14,1484,60.0,24.733333333333334
15,1485,60.0,24.75
16,1472,60.0,24.533333333333335
